"","ski_degs_uni"
"356","gene23873"
"357","gene25487"
"358","gene15198"
"359","gene21819"
"360","gene1070"
"361","gene18629"
"362","gene4635"
"363","gene22453"
"364","gene5781"
"365","gene24552"
"366","gene16954"
"367","gene10203"
"368","gene19229"
"369","gene17873"
"370","gene990"
"371","gene5162"
"372","gene10021"
"373","gene7327"
"374","gene18013"
"375","gene13543"
"376","gene21919"
"377","gene15663"
"378","gene4387"
"379","gene20407"
"380","gene7038"
"381","gene21552"
"382","gene2726"
"383","gene13699"
"384","gene1046"
"385","gene11435"
"386","gene20563"
"387","gene10483"
"388","gene7391"
"389","gene4666"
"390","gene2158"
"391","gene10082"
"392","gene20807"
"393","gene15552"
"394","gene24238"
"395","gene20101"
"396","gene11549"
"397","gene17020"
"398","gene4418"
"399","gene16994"
"400","gene3880"
"401","gene3262"
"402","gene5304"
"403","gene9100"
"404","gene13778"
"405","gene15033"
"406","gene20384"
"407","gene20873"
"408","gene9845"
"409","gene4566"
"410","gene7254"
"411","gene3455"
"412","gene6526"
"413","gene12514"
"414","gene6088"
"415","gene11207"
"416","gene4288"
"417","gene24669"
"418","gene12835"
"419","gene21171"
"420","gene14763"
"421","gene24399"
"422","gene21271"
"423","gene3207"
"424","gene18136"
"425","gene7378"
"426","gene22770"
"427","gene5975"
"428","gene15744"
"429","gene16127"
"430","gene21904"
"431","gene13559"
"432","gene23133"
"433","gene1819"
"434","gene15322"
"435","gene14937"
"436","gene3881"
"437","gene24862"
"438","gene4694"
"439","gene1510"
"440","gene4739"
"441","gene4350"
"442","gene15868"
"443","gene16961"
"444","gene11927"
"445","gene15916"
"446","gene5205"
"447","gene25036"
"448","gene1615"
"449","gene5412"
"450","gene4151"
"451","gene4257"
"452","gene25682"
"453","gene12347"
"454","gene8921"
"455","gene21231"
"456","gene269"
"457","gene16434"
"458","gene18619"
"459","gene6644"
"460","gene13607"
"461","gene13614"
"462","gene21977"
"463","gene13202"
"464","gene3771"
"465","gene21978"
"466","gene15737"
"467","gene13056"
"468","gene1160"
"469","gene21224"
"470","gene1028"
"471","gene10666"
"472","gene11825"
"473","gene18608"
"474","gene23864"
"475","gene20156"
"476","gene15795"
"477","gene18392"
"478","gene25179"
"479","gene19067"
"480","gene15869"
"481","gene14314"
"482","gene2616"
"483","gene13936"
"484","gene20886"
"485","gene1413"
"486","gene4529"
"487","gene18795"
"488","gene9173"
"489","gene13827"
"490","gene2384"
"491","gene10566"
"492","gene1352"
"493","gene25035"
"494","gene9581"
"495","gene13608"
"496","gene20431"
"497","gene10881"
"498","gene3456"
"499","gene12103"
"500","gene1666"
"501","gene13181"
"502","gene4352"
"503","gene16819"
"504","gene24012"
"505","gene9599"
"506","gene9601"
"507","gene14698"
"508","gene10345"
"509","gene3317"
"510","gene13457"
"511","gene13586"
"512","gene14766"
"513","gene15157"
"514","gene15174"
"515","gene22007"
"516","gene5257"
"517","gene14616"
"518","gene8917"
"519","gene2228"
"520","gene17501"
"521","gene25085"
"522","gene5739"
"523","gene22253"
"524","gene468"
"525","gene12722"
"526","gene17868"
"527","gene18059"
"528","gene18809"
"529","gene311"
"530","gene15967"
"531","gene2014"
"532","gene11900"
"533","gene21215"
"534","gene10615"
"535","gene12489"
"536","gene554"
"537","gene11158"
"538","gene2701"
"539","gene1750"
"540","gene11089"
"541","gene10335"
"542","gene10524"
"543","gene9259"
"544","gene5952"
"545","gene22128"
"546","gene3548"
"547","gene1931"
"548","gene464"
"549","gene20197"
"550","gene10178"
"551","gene13456"
"552","gene9809"
"553","gene14435"
"554","gene20366"
"555","gene1689"
"556","gene3219"
"557","gene12745"
"558","gene9548"
"559","gene17028"
"560","gene13769"
"561","gene4795"
"562","gene11376"
"563","gene2385"
"564","gene12188"
"565","gene13136"
"566","gene15594"
"567","gene17376"
"568","gene1988"
"569","gene23222"
"570","gene9529"
"571","gene10268"
"572","gene17289"
"573","gene23338"
"574","gene26931"
"575","gene18496"
"576","gene6432"
"577","gene9094"
"578","gene13934"
"579","gene16378"
"580","gene1346"
"581","gene4459"
"582","gene2830"
"583","gene10948"
"584","gene9804"
"585","gene23016"
"586","gene18127"
"587","gene4129"
"588","gene20784"
"589","gene20408"
"590","gene5707"
"591","gene15987"
"592","gene3736"
"593","gene20080"
"594","gene4003"
"595","gene20264"
"596","gene4744"
"597","gene9277"
"598","gene832"
"599","gene26188"
"600","gene2759"
"601","gene26397"
"602","gene5431"
"603","gene24599"
"604","gene9262"
"605","gene4145"
"606","gene846"
"607","gene11331"
"608","gene14661"
"609","gene14062"
"610","gene5784"
"611","gene16859"
"612","gene21738"
"613","gene18343"
"614","gene10296"
"615","gene4832"
"616","gene10354"
"617","gene19094"
"618","gene20936"
"619","gene4155"
"620","gene16036"
"621","gene20665"
"622","gene22250"
"623","gene24998"
"624","gene11594"
"625","gene5677"
"626","gene12898"
"627","gene25517"
"628","gene6814"
"629","gene10469"
"630","gene7248"
"631","gene7245"
"632","gene6805"
"633","gene17094"
"634","gene19294"
"635","gene13189"
"636","gene16755"
"637","gene7151"
"638","gene1465"
"639","gene22249"
"640","gene26499"
"641","gene15774"
"642","gene16754"
"643","gene22248"
"644","gene26789"
"645","gene7415"
"646","gene1430"
"647","gene20846"
"648","gene12269"
"649","gene15874"
"650","gene10934"
"651","gene6613"
"652","gene1717"
"653","gene25805"
"654","gene20322"
"655","gene482"
"656","gene11729"
"657","gene9997"
"658","gene14531"
"659","gene21091"
"660","gene15551"
"661","gene22747"
"662","gene17114"
"663","gene20117"
"664","gene25563"
"665","gene1111"
"666","gene6887"
"667","gene16538"
"668","gene24312"
"669","gene12683"
"670","gene12763"
"671","gene22347"
"672","gene25976"
"673","gene5351"
"674","gene11156"
"675","gene15606"
"676","gene10903"
"677","gene26289"
"678","gene1087"
"679","gene11071"
"680","gene15792"
"681","gene5708"
"682","gene20619"
"683","gene266"
"684","gene12251"
"685","gene14292"
"686","gene9732"
"687","gene11234"
"688","gene14332"
"689","gene11966"
"690","gene17978"
"691","gene10783"
"692","gene20094"
"693","gene3486"
"694","gene7476"
"695","gene1086"
"696","gene10613"
"697","gene17011"
"698","gene18287"
"699","gene917"
"700","gene2436"
"701","gene4160"
"702","gene4149"
"703","gene10223"
"704","gene20942"
"705","gene2326"
"706","gene11185"
"707","gene15329"
"708","gene5471"
"709","gene2442"
"710","gene20475"
"711","gene11087"
"712","gene21275"
"713","gene4172"
"714","gene6016"
"715","gene4697"
"716","gene13157"
"717","gene22294"
"718","gene5066"
"719","gene7356"
"720","gene5976"
"721","gene20026"
"722","gene7010"
"723","gene15677"
"724","gene466"
"725","gene14048"
"726","gene18323"
"727","gene20199"
"728","gene7462"
"729","gene10590"
"730","gene11547"
"731","gene498"
"732","gene677"
"733","gene14935"
"734","gene7231"
"735","gene21793"
"736","gene5336"
"737","gene12230"
"738","gene18047"
"739","gene21889"
"740","gene123"
"741","gene11088"
"742","gene205"
"743","gene10638"
"744","gene20118"
"745","gene2408"
"746","gene4651"
"747","gene16578"
"748","gene4138"
"749","gene6719"
"750","gene1996"
"751","gene1289"
"752","gene9666"
"753","gene284"
"754","gene519"
"755","gene14549"
"756","gene10546"
"757","gene6612"
"758","gene16726"
"759","gene26206"
"760","gene24258"
"761","gene15344"
"762","gene17803"
"763","gene5142"
"764","gene17439"
"765","gene7351"
"766","gene4534"
"767","gene10579"
"768","gene13345"
"769","gene14904"
"770","gene22245"
"771","gene6732"
"772","gene7468"
"773","gene14569"
"774","gene5978"
"775","gene10508"
"776","gene15892"
"777","gene6438"
"778","gene6071"
"779","gene10265"
"780","gene6825"
"781","gene11050"
"782","gene6305"
"783","gene4524"
"784","gene21182"
"785","gene21274"
"786","gene8060"
"787","gene9999"
"788","gene21797"
"789","gene735"
