"","liv_degs_uni"
"357","gene21862"
"358","gene24307"
"359","gene10675"
"360","gene14673"
"361","gene7199"
"362","gene11190"
"363","gene19265"
"364","gene15433"
"365","gene184"
"366","gene20036"
"367","gene19266"
"368","gene6001"
"369","gene2549"
"370","gene4486"
"371","gene155"
"372","gene19191"
"373","gene24286"
"374","gene16698"
"375","gene22010"
"376","gene2152"
"377","gene1403"
"378","gene23444"
"379","gene4697"
"380","gene1705"
"381","gene20321"
"382","gene23577"
"383","gene21931"
"384","gene22057"
"385","gene4129"
"386","gene929"
"387","gene21316"
"388","gene3592"
"389","gene5342"
"390","gene17288"
"391","gene18514"
"392","gene10134"
"393","gene607"
"394","gene25563"
"395","gene16697"
"396","gene9182"
"397","gene15907"
"398","gene6166"
"399","gene10824"
"400","gene4636"
"401","gene1783"
"402","gene18330"
"403","gene22488"
"404","gene1513"
"405","gene3499"
"406","gene3218"
"407","gene6627"
"408","gene12454"
"409","gene14997"
"410","gene19267"
"411","gene15692"
"412","gene12007"
"413","gene25976"
"414","gene1941"
"415","gene13991"
"416","gene1015"
"417","gene2911"
"418","gene14422"
"419","gene18548"
"420","gene17055"
"421","gene20897"
"422","gene24637"
"423","gene5823"
"424","gene3802"
"425","gene16254"
"426","gene22098"
"427","gene19911"
"428","gene24397"
"429","gene13619"
"430","gene2676"
"431","gene4854"
"432","gene5357"
"433","gene9272"
"434","gene18031"
"435","gene23985"
"436","gene15001"
"437","gene16639"
"438","gene16747"
"439","gene259"
"440","gene13921"
"441","gene16742"
"442","gene4226"
"443","gene7579"
"444","gene20563"
"445","gene6079"
"446","gene19013"
"447","gene3525"
"448","gene2529"
"449","gene26150"
"450","gene24276"
"451","gene18022"
"452","gene24435"
"453","gene20451"
"454","gene11069"
"455","gene7329"
"456","gene23937"
"457","gene16733"
"458","gene20419"
"459","gene12821"
"460","gene17424"
"461","gene11070"
"462","gene4863"
"463","gene26074"
"464","gene6365"
"465","gene1606"
"466","gene2055"
"467","gene9606"
"468","gene11959"
"469","gene13946"
"470","gene12495"
"471","gene25946"
"472","gene12608"
"473","gene15758"
"474","gene14080"
"475","gene4170"
"476","gene16204"
"477","gene5159"
"478","gene18296"
"479","gene6470"
"480","gene354"
"481","gene18731"
"482","gene11154"
"483","gene4007"
"484","gene1765"
"485","gene3280"
"486","gene2453"
"487","gene18703"
"488","gene5448"
"489","gene21576"
"490","gene25054"
"491","gene7040"
"492","gene8386"
"493","gene15495"
"494","gene16669"
"495","gene17622"
"496","gene1071"
"497","gene15985"
"498","gene15715"
"499","gene22337"
"500","gene10483"
"501","gene17024"
"502","gene23118"
"503","gene2674"
"504","gene1266"
"505","gene14599"
"506","gene4592"
"507","gene6772"
"508","gene3796"
"509","gene7453"
"510","gene11873"
"511","gene3856"
"512","gene6247"
"513","gene22206"
"514","gene4299"
"515","gene14640"
"516","gene16023"
"517","gene20384"
"518","gene7591"
"519","gene23110"
"520","gene8928"
"521","gene12310"
"522","gene9127"
"523","gene19190"
"524","gene23868"
"525","gene5077"
"526","gene6598"
"527","gene1140"
"528","gene19323"
"529","gene25293"
"530","gene15180"
"531","gene2736"
"532","gene19239"
"533","gene16428"
"534","gene11262"
"535","gene12655"
"536","gene1822"
"537","gene6399"
"538","gene16734"
"539","gene1367"
"540","gene2503"
"541","gene20147"
"542","gene20862"
"543","gene12647"
"544","gene13457"
"545","gene7254"
"546","gene4617"
"547","gene14300"
"548","gene15325"
"549","gene22723"
"550","gene10309"
"551","gene9610"
"552","gene20614"
"553","gene22740"
"554","gene19228"
"555","gene1863"
"556","gene4465"
"557","gene1009"
"558","gene1940"
"559","gene19163"
"560","gene19189"
"561","gene18149"
"562","gene26253"
"563","gene10779"
"564","gene20594"
"565","gene13030"
"566","gene24620"
"567","gene9101"
"568","gene26472"
"569","gene17235"
"570","gene18343"
"571","gene11912"
"572","gene14292"
"573","gene5286"
"574","gene16590"
"575","gene19903"
"576","gene2780"
"577","gene7593"
"578","gene16404"
"579","gene262"
"580","gene25482"
"581","gene12333"
"582","gene15473"
"583","gene4393"
"584","gene17379"
"585","gene2035"
"586","gene16745"
"587","gene23031"
"588","gene26077"
"589","gene13263"
"590","gene25656"
"591","gene12976"
"592","gene14940"
"593","gene21971"
"594","gene23039"
"595","gene17941"
"596","gene1159"
"597","gene4705"
"598","gene11050"
"599","gene19807"
"600","gene4054"
"601","gene2937"
"602","gene6527"
"603","gene3959"
"604","gene3961"
"605","gene11180"
"606","gene17870"
"607","gene23040"
"608","gene24594"
"609","gene3301"
"610","gene10653"
"611","gene17529"
"612","gene12055"
"613","gene21211"
"614","gene12243"
"615","gene6257"
"616","gene24193"
"617","gene2530"
"618","gene20337"
"619","gene17910"
"620","gene26774"
"621","gene16914"
"622","gene23042"
"623","gene4272"
"624","gene23036"
"625","gene6375"
"626","gene14810"
"627","gene6526"
"628","gene12421"
"629","gene1682"
"630","gene7235"
"631","gene10768"
"632","gene17277"
"633","gene13423"
"634","gene25797"
"635","gene1565"
"636","gene22972"
"637","gene13416"
"638","gene5305"
"639","gene5037"
"640","gene22570"
"641","rna46612"
"642","gene6941"
"643","gene135"
"644","gene12758"
"645","gene5257"
"646","gene19019"
"647","gene16677"
"648","gene13468"
"649","gene6753"
"650","gene11764"
"651","gene23330"
"652","gene19306"
"653","gene13337"
"654","gene20894"
"655","gene10406"
"656","gene16459"
"657","gene19336"
"658","gene24441"
"659","gene17758"
"660","gene6743"
"661","gene20637"
"662","gene26891"
"663","gene20602"
"664","gene20638"
"665","gene10865"
"666","gene6459"
"667","gene7415"
"668","gene21707"
"669","gene24554"
"670","gene7209"
"671","gene26124"
"672","gene20636"
"673","gene17088"
"674","gene20635"
"675","gene13548"
"676","gene25219"
"677","gene25945"
"678","gene11112"
"679","gene24553"
"680","gene22469"
"681","gene3160"
"682","gene17486"
"683","gene19288"
"684","rna46623"
"685","gene13377"
"686","gene16304"
"687","gene4500"
"688","gene5134"
"689","gene11788"
"690","gene17475"
"691","gene18495"
"692","gene4373"
"693","gene12851"
"694","gene18711"
"695","gene3230"
"696","gene18115"
"697","gene19168"
"698","gene18270"
"699","gene24282"
"700","gene3919"
"701","gene25488"
"702","gene9453"
"703","gene15280"
"704","gene17868"
"705","gene18842"
"706","gene25589"
"707","gene6377"
"708","gene9082"
"709","gene7251"
"710","gene7457"
"711","gene16411"
"712","gene22195"
"713","gene8251"
"714","gene21263"
"715","gene7485"
"716","gene25487"
"717","gene13549"
"718","gene25871"
"719","gene12552"
"720","gene26284"
"721","gene17628"
"722","gene22139"
"723","gene25874"
"724","gene276"
"725","gene5325"
"726","gene11217"
"727","gene10760"
"728","gene16355"
"729","gene11565"
"730","gene11645"
"731","gene18029"
"732","gene22293"
"733","gene15549"
"734","gene18952"
"735","gene11171"
"736","gene25485"
"737","gene24888"
"738","gene3115"
"739","gene5575"
"740","gene17167"
"741","gene23188"
"742","gene17905"
"743","gene1891"
"744","gene16378"
"745","gene16729"
"746","gene22296"
"747","gene111"
"748","gene5223"
"749","gene24"
"750","gene3934"
"751","gene4976"
"752","gene24360"
"753","gene4791"
"754","gene17990"
"755","gene18354"
"756","gene18521"
"757","gene10486"
"758","gene2078"
"759","gene11945"
"760","gene3466"
"761","gene1345"
"762","gene7120"
"763","gene2165"
"764","gene25191"
"765","gene12135"
"766","gene22566"
"767","gene15033"
"768","rna46626"
"769","gene13255"
"770","gene1344"
"771","gene5579"
"772","gene777"
"773","gene21046"
"774","gene5209"
"775","gene13936"
"776","gene11083"
"777","gene12705"
"778","gene16573"
"779","gene4517"
"780","gene17600"
"781","gene11437"
"782","gene1726"
"783","gene1522"
"784","gene6228"
"785","gene12136"
"786","gene19148"
"787","gene25873"
