"","liv_degs_uni"
"1503","gene12668"
"1504","gene18633"
"1505","gene18161"
"1506","gene17830"
"1507","gene6865"
"1508","gene7356"
"1509","gene9732"
"1510","gene17320"
"1511","gene14074"
"1512","gene16438"
"1513","gene15627"
"1514","gene16008"
"1515","gene2429"
"1516","gene2478"
"1517","gene11995"
"1518","gene16683"
"1519","gene2228"
"1520","gene4197"
"1521","gene10220"
"1522","gene12806"
"1523","gene835"
"1524","gene7318"
"1525","gene3453"
"1526","gene11847"
"1527","gene4313"
"1528","gene4708"
"1529","gene14469"
"1530","gene16161"
"1531","gene19827"
"1532","gene2273"
"1533","gene1111"
"1534","gene13005"
"1535","gene7220"
"1536","gene15350"
"1537","gene16494"
"1538","gene18829"
"1539","gene24071"
"1540","gene130"
"1541","gene16517"
"1542","gene5687"
"1543","gene6087"
"1544","gene6856"
"1545","gene17199"
"1546","gene7158"
"1547","gene2014"
"1548","gene16208"
"1549","gene17945"
"1550","gene2196"
"1551","gene14557"
"1552","gene18364"
"1553","gene18351"
"1554","gene23000"
"1555","gene5797"
"1556","gene16844"
"1557","gene21010"
"1558","gene11573"
"1559","gene7491"
"1560","gene26015"
"1561","gene5588"
"1562","gene18785"
"1563","gene9702"
"1564","gene9797"
"1565","gene18355"
"1566","gene16850"
"1567","gene4738"
"1568","gene1055"
"1569","gene16618"
"1570","gene19902"
"1571","gene19927"
"1572","gene15329"
"1573","gene19042"
"1574","gene26670"
"1575","gene22916"
"1576","gene814"
"1577","gene22011"
"1578","gene25956"
"1579","gene21800"
"1580","gene8309"
"1581","gene18874"
"1582","gene12086"
"1583","gene19194"
"1584","gene3874"
"1585","gene17985"
"1586","gene21922"
"1587","gene26711"
"1588","gene856"
"1589","gene6090"
"1590","gene3734"
"1591","gene1694"
"1592","gene17123"
"1593","gene17014"
"1594","gene13850"
"1595","gene21048"
"1596","gene218"
"1597","gene25233"
"1598","gene5666"
"1599","gene24212"
"1600","gene5109"
"1601","gene17015"
"1602","gene13886"
"1603","gene10241"
"1604","gene6851"
"1605","gene10809"
"1606","gene20225"
"1607","gene24535"
"1608","gene15888"
"1609","gene4404"
"1610","gene25824"
"1611","gene9876"
"1612","gene6479"
"1613","gene1562"
"1614","gene6752"
"1615","gene14908"
"1616","gene16693"
"1617","gene2320"
"1618","gene9653"
"1619","gene12285"
"1620","gene2432"
"1621","gene1293"
"1622","gene23122"
"1623","gene21005"
"1624","gene13008"
"1625","gene17533"
"1626","gene3563"
"1627","gene867"
"1628","gene1685"
"1629","gene7504"
"1630","gene11993"
"1631","gene15776"
"1632","gene10518"
"1633","gene16362"
"1634","gene7164"
"1635","gene17539"
"1636","gene21024"
"1637","gene9688"
"1638","gene4130"
"1639","gene6838"
"1640","gene822"
"1641","gene21898"
"1642","gene16427"
"1643","gene9592"
"1644","gene14429"
"1645","gene11189"
"1646","gene9593"
"1647","gene615"
"1648","gene6613"
"1649","gene6173"
"1650","gene1616"
"1651","gene20831"
"1652","gene20888"
"1653","gene14803"
"1654","gene6958"
"1655","gene17545"
"1656","gene2141"
"1657","gene16296"
"1658","gene1709"
"1659","gene14606"
"1660","gene4694"
"1661","gene16228"
"1662","gene20490"
"1663","gene12751"
"1664","gene17577"
"1665","gene16902"
"1666","gene14039"
"1667","gene20883"
"1668","gene995"
"1669","gene16153"
"1670","gene2395"
"1671","gene1147"
"1672","gene14593"
"1673","gene22736"
"1674","gene2510"
"1675","gene6828"
"1676","gene3636"
"1677","gene4354"
"1678","gene10281"
"1679","gene11349"
"1680","gene992"
"1681","gene18194"
"1682","gene10697"
"1683","gene12099"
"1684","gene20491"
"1685","gene12717"
"1686","gene16108"
"1687","gene22718"
"1688","gene2083"
"1689","gene16309"
"1690","gene14725"
"1691","gene18600"
"1692","gene18601"
"1693","gene6178"
"1694","gene22971"
"1695","gene16005"
"1696","gene24704"
"1697","gene17606"
"1698","gene21025"
"1699","gene15051"
"1700","gene1762"
"1701","gene4418"
"1702","gene15929"
"1703","gene12742"
"1704","gene17892"
"1705","gene18153"
"1706","gene11612"
"1707","gene6223"
"1708","gene10257"
"1709","gene20417"
"1710","gene5820"
"1711","gene4586"
"1712","gene22412"
"1713","gene18752"
"1714","gene3240"
"1715","gene15319"
"1716","gene17617"
"1717","gene160"
"1718","gene19616"
"1719","gene12770"
"1720","gene11151"
"1721","gene17269"
"1722","gene5066"
"1723","gene5816"
"1724","gene16351"
"1725","gene24178"
"1726","gene22252"
"1727","gene6450"
"1728","gene10981"
"1729","gene17635"
"1730","gene26520"
"1731","gene12132"
"1732","gene14353"
"1733","gene16840"
"1734","gene16176"
"1735","gene16232"
"1736","gene21238"
"1737","gene17434"
"1738","gene25484"
"1739","gene1661"
"1740","gene17472"
"1741","gene11468"
"1742","gene6322"
"1743","gene14767"
"1744","gene16195"
"1745","gene14375"
"1746","gene17827"
"1747","gene3312"
"1748","gene12398"
"1749","gene13539"
"1750","gene189"
"1751","gene9170"
"1752","gene12881"
"1753","gene24532"
"1754","gene25082"
"1755","gene23028"
"1756","gene23079"
"1757","gene21644"
"1758","gene13614"
"1759","gene23210"
"1760","gene22135"
"1761","gene17223"
"1762","gene24015"
"1763","gene23345"
"1764","gene11155"
"1765","gene5028"
"1766","gene22028"
"1767","gene12224"
"1768","gene21191"
"1769","gene8919"
"1770","gene5402"
"1771","gene492"
"1772","gene10728"
"1773","gene13011"
"1774","gene23004"
"1775","gene881"
"1776","gene14043"
"1777","gene13427"
"1778","gene1890"
"1779","gene14209"
"1780","gene15396"
"1781","gene15380"
"1782","gene9725"
"1783","gene1353"
"1784","gene10501"
"1785","gene18670"
"1786","gene23965"
"1787","gene8222"
"1788","gene16868"
"1789","gene16867"
"1790","gene21139"
"1791","gene3548"
"1792","gene19863"
"1793","gene25743"
"1794","gene11759"
"1795","gene14697"
"1796","gene17398"
"1797","gene1592"
"1798","gene12412"
"1799","gene26738"
