"","int_degs_uni"
"356","gene6334"
"357","gene12912"
"358","gene12780"
"359","gene3981"
"360","gene12044"
"361","gene19067"
"362","gene2515"
"363","gene6807"
"364","gene22509"
"365","gene4288"
"366","gene4409"
"367","gene18392"
"368","gene3504"
"369","gene485"
"370","gene11187"
"371","gene22234"
"372","gene18380"
"373","gene19684"
"374","gene22152"
"375","gene15877"
"376","gene22761"
"377","gene18824"
"378","gene4038"
"379","gene6526"
"380","gene858"
"381","gene18441"
"382","gene10866"
"383","gene783"
"384","gene3110"
"385","gene14149"
"386","gene14648"
"387","gene6383"
"388","gene856"
"389","gene5862"
"390","gene13166"
"391","gene14132"
"392","gene10742"
"393","gene1555"
"394","gene9955"
"395","gene9926"
"396","gene13614"
"397","gene19065"
"398","gene18660"
"399","gene25853"
"400","gene23032"
"401","gene22218"
"402","gene26083"
"403","gene20187"
"404","gene24901"
"405","gene12343"
"406","gene1673"
"407","gene3505"
"408","gene11092"
"409","gene1717"
"410","gene15467"
"411","gene19012"
"412","gene10332"
"413","gene18182"
"414","gene12310"
"415","gene9951"
"416","gene1067"
"417","gene9689"
"418","gene14078"
"419","gene24503"
"420","gene13063"
"421","gene4926"
"422","gene10331"
"423","gene14060"
"424","gene6203"
"425","gene5842"
"426","gene12080"
"427","gene9351"
"428","gene20693"
"429","gene2432"
"430","gene9548"
"431","gene14019"
"432","gene2212"
"433","gene1270"
"434","gene14554"
"435","gene15708"
"436","gene16232"
"437","gene16669"
"438","gene22160"
"439","gene24594"
"440","gene1731"
"441","gene9259"
"442","gene12368"
"443","gene4565"
"444","gene18751"
"445","gene4412"
"446","gene20317"
"447","gene5859"
"448","gene21271"
"449","gene22131"
"450","gene13303"
"451","gene10164"
"452","gene15530"
"453","gene7378"
"454","gene22110"
"455","gene3494"
"456","gene23937"
"457","gene1095"
"458","gene3273"
"459","gene17613"
"460","gene21215"
"461","gene6149"
"462","gene2131"
"463","gene24681"
"464","gene11271"
"465","gene12931"
"466","gene1015"
"467","gene262"
"468","gene3926"
"469","gene15573"
"470","gene3593"
"471","gene14816"
"472","gene16188"
"473","gene15698"
"474","gene6207"
"475","gene25457"
"476","gene5357"
"477","gene4834"
"478","gene3482"
"479","gene4032"
"480","gene18489"
"481","gene86"
"482","gene489"
"483","gene729"
"484","gene16944"
"485","gene9607"
"486","gene14080"
"487","gene17369"
"488","gene25946"
"489","gene12042"
"490","gene13400"
"491","gene18183"
"492","gene2580"
"493","gene6365"
"494","gene7258"
"495","gene25483"
"496","gene797"
"497","gene12676"
"498","gene17529"
"499","gene2888"
"500","gene3146"
"501","gene14405"
"502","gene12085"
"503","gene13412"
"504","gene19305"
"505","gene13378"
"506","gene20145"
"507","gene25980"
"508","gene16517"
"509","gene18231"
"510","gene9698"
"511","gene22979"
"512","gene9350"
"513","gene12084"
"514","gene21680"
"515","gene25081"
"516","gene14754"
"517","gene4656"
"518","gene16246"
"519","gene24906"
"520","gene327"
"521","gene24730"
"522","gene22835"
"523","gene9570"
"524","gene22418"
"525","gene18333"
"526","gene18663"
"527","gene2587"
"528","gene16538"
"529","gene15353"
"530","gene6908"
"531","gene15816"
"532","gene15825"
"533","gene13679"
"534","gene24514"
"535","gene15154"
"536","gene12103"
"537","gene14746"
"538","gene8295"
"539","gene8206"
"540","gene10666"
"541","gene12372"
"542","gene7595"
"543","gene17541"
"544","gene1824"
"545","gene1227"
"546","gene4800"
"547","gene10969"
"548","gene6685"
"549","gene9586"
"550","gene14438"
"551","gene21746"
"552","gene21123"
"553","gene5290"
"554","gene11284"
"555","gene1237"
"556","gene1842"
"557","gene14393"
"558","gene22519"
"559","gene5987"
"560","gene15406"
"561","gene22036"
"562","gene726"
"563","gene9573"
"564","gene2103"
"565","gene24739"
"566","gene10899"
"567","gene15031"
"568","gene5254"
"569","gene19145"
"570","gene6842"
"571","gene7137"
"572","gene9244"
"573","gene13930"
"574","gene1065"
"575","gene20267"
"576","gene4524"
"577","gene4802"
"578","gene5516"
"579","gene7510"
"580","gene20094"
"581","gene12742"
"582","gene22298"
"583","gene5099"
"584","gene5066"
"585","gene12493"
"586","gene17269"
"587","gene14373"
"588","gene4395"
"589","gene1882"
"590","gene3268"
"591","gene10551"
"592","gene3395"
"593","gene18496"
"594","gene13285"
"595","gene1242"
"596","gene8182"
"597","gene22283"
"598","gene8911"
"599","gene788"
"600","gene17830"
"601","gene15770"
"602","gene17235"
"603","gene1693"
"604","gene13191"
"605","gene20654"
"606","gene22128"
"607","gene24414"
"608","gene912"
"609","gene6684"
"610","gene2462"
"611","gene7572"
"612","gene21649"
"613","gene3500"
"614","gene22976"
"615","gene19891"
"616","gene18427"
"617","gene4757"
"618","gene5453"
"619","gene22876"
"620","gene12888"
"621","gene19938"
"622","gene2899"
"623","gene17901"
"624","gene21275"
"625","gene16465"
"626","gene25438"
"627","gene17906"
"628","gene19325"
"629","gene13128"
"630","gene3361"
"631","gene9693"
"632","gene1051"
"633","gene16889"
"634","gene10540"
"635","gene9761"
"636","gene1288"
"637","gene5855"
"638","gene9928"
"639","gene19954"
"640","gene19913"
"641","gene16593"
"642","gene18768"
"643","gene25822"
"644","gene589"
"645","gene3339"
"646","gene8246"
"647","gene23349"
"648","gene13217"
"649","gene22273"
"650","gene19904"
"651","gene2889"
"652","gene13177"
"653","gene22104"
"654","gene18062"
"655","gene9182"
"656","gene26599"
"657","gene20170"
"658","gene11613"
"659","gene17588"
"660","gene13638"
"661","gene15260"
"662","gene10830"
"663","gene1245"
"664","gene19937"
"665","gene17010"
"666","gene19951"
"667","gene19903"
"668","gene20984"
"669","gene25589"
"670","gene8371"
"671","gene13278"
"672","gene15078"
"673","gene15137"
"674","gene16888"
"675","gene23413"
"676","gene5455"
"677","gene17744"
"678","gene12033"
"679","gene209"
"680","gene11723"
"681","gene1291"
"682","gene8369"
"683","gene20451"
"684","gene3982"
"685","gene6772"
"686","gene17786"
"687","gene458"
"688","gene20637"
"689","gene14444"
"690","gene16048"
"691","gene14209"
"692","gene20028"
"693","gene14238"
"694","gene20640"
"695","id50244"
"696","id41757"
"697","gene21121"
"698","id41742"
"699","gene21205"
"700","gene13413"
"701","gene24464"
"702","gene24633"
"703","gene4055"
"704","gene15159"
"705","gene18802"
"706","gene15290"
"707","gene7090"
"708","gene1072"
"709","gene10406"
"710","gene21904"
"711","gene11991"
"712","gene19616"
"713","gene2118"
"714","gene2177"
"715","gene18815"
"716","gene6661"
"717","gene19040"
"718","gene19906"
"719","gene19952"
"720","gene23899"
"721","gene17334"
"722","gene18783"
"723","gene19927"
"724","gene15522"
"725","gene861"
"726","gene19936"
"727","gene2729"
"728","gene19916"
"729","gene16850"
"730","gene19899"
"731","gene14673"
"732","gene2531"
"733","gene11453"
"734","gene16891"
"735","gene19911"
"736","gene19892"
"737","gene22740"
"738","gene22739"
"739","gene8291"
"740","gene25157"
"741","gene17178"
"742","gene21744"
"743","gene19919"
"744","gene24628"
"745","gene19939"
"746","gene13180"
"747","gene11462"
"748","gene24178"
"749","gene4370"
"750","gene15058"
"751","gene21356"
"752","gene9533"
"753","gene22738"
"754","gene411"
"755","gene14225"
"756","gene25964"
"757","gene12993"
"758","gene9308"
"759","gene14223"
"760","gene15051"
"761","gene9668"
"762","gene3152"
"763","gene18645"
"764","gene7329"
"765","gene23993"
"766","gene10483"
"767","gene14242"
"768","gene8288"
"769","gene17813"
"770","gene9767"
"771","gene12755"
"772","gene159"
"773","gene19248"
"774","gene23416"
"775","gene19036"
"776","gene1605"
"777","gene23347"
"778","gene19848"
"779","gene19194"
"780","gene3393"
"781","gene7646"
"782","gene3591"
"783","gene189"
"784","gene1854"
"785","gene19195"
"786","gene24563"
"787","gene2930"
"788","gene16248"
"789","gene2693"
"790","gene11071"
"791","gene22723"
"792","gene24579"
"793","gene6649"
"794","gene16042"
"795","gene17800"
"796","gene12863"
"797","gene3527"
"798","gene10566"
"799","gene23210"
"800","gene12917"
"801","gene19178"
"802","gene22524"
"803","gene20279"
"804","gene25818"
"805","gene26607"
"806","gene11267"
"807","gene13859"
"808","gene11027"
"809","gene1170"
"810","gene10930"
"811","gene3744"
"812","gene26016"
"813","gene20149"
"814","gene24082"
"815","gene1728"
"816","gene914"
"817","gene11468"
"818","gene3613"
"819","gene13508"
"820","gene20790"
"821","gene13477"
"822","gene24129"
"823","gene1819"
"824","gene13526"
"825","gene12548"
"826","gene7498"
"827","gene19711"
"828","gene22038"
"829","gene22546"
"830","gene5094"
"831","gene13408"
"832","gene18131"
"833","gene18077"
"834","gene13713"
"835","gene7626"
"836","gene13523"
"837","gene15548"
"838","gene2266"
"839","gene4142"
"840","gene4290"
"841","gene9609"
"842","gene11041"
"843","gene7036"
"844","gene14566"
"845","gene16127"
"846","gene4246"
"847","gene479"
"848","gene18022"
"849","gene19316"
"850","gene12669"
"851","gene9287"
"852","gene12392"
"853","gene22465"
"854","gene10604"
"855","gene12709"
"856","gene24"
"857","gene19244"
"858","gene5067"
"859","gene17411"
"860","gene4535"
"861","gene20394"
"862","gene20226"
"863","gene13414"
"864","gene14427"
"865","gene18808"
"866","gene1649"
"867","gene12320"
"868","gene14289"
"869","gene1790"
"870","gene1617"
"871","gene20545"
"872","gene18007"
"873","rna46634"
"874","gene24160"
"875","gene9115"
"876","gene20030"
"877","gene18038"
"878","gene6095"
"879","gene16861"
"880","gene428"
"881","gene20115"
"882","gene2628"
"883","gene18749"
"884","gene1700"
"885","gene880"
"886","gene14830"
"887","gene1786"
"888","gene20263"
"889","gene24448"
"890","gene2443"
"891","gene26015"
"892","gene882"
"893","gene21472"
"894","gene4354"
"895","gene11259"
"896","gene21066"
"897","gene26174"
"898","gene24159"
"899","gene1640"
"900","gene25279"
"901","gene12116"
"902","gene6113"
"903","gene21364"
"904","gene853"
"905","gene20397"
"906","gene11816"
"907","gene20761"
"908","gene12353"
"909","gene11268"
"910","gene3739"
"911","gene20300"
"912","gene25078"
"913","gene3492"
"914","gene887"
"915","gene14071"
"916","gene2280"
"917","gene12468"
"918","gene22912"
