"","int_degs_uni"
"1504","gene6246"
"1505","gene11537"
"1506","gene1347"
"1507","gene5575"
"1508","gene20483"
"1509","gene24715"
"1510","gene660"
"1511","gene25142"
"1512","gene551"
"1513","id24655"
"1514","gene13830"
"1515","gene11606"
"1516","gene17545"
"1517","gene17456"
"1518","gene16303"
"1519","gene21852"
"1520","gene7236"
"1521","gene25668"
"1522","gene14311"
"1523","gene11790"
"1524","gene10546"
"1525","gene16151"
"1526","gene17539"
"1527","gene1532"
"1528","gene17546"
"1529","gene22357"
"1530","gene5138"
"1531","gene1543"
"1532","gene17455"
"1533","gene6408"
"1534","gene17975"
"1535","gene20510"
"1536","gene19063"
"1537","gene22120"
"1538","gene15252"
"1539","gene7135"
"1540","gene17398"
"1541","gene13373"
"1542","gene21915"
"1543","gene12619"
"1544","gene1357"
"1545","gene15575"
"1546","gene20843"
"1547","gene12388"
"1548","gene6741"
"1549","gene4577"
"1550","gene21775"
"1551","gene811"
"1552","gene7040"
"1553","gene16542"
"1554","gene14652"
"1555","gene1505"
"1556","gene6260"
"1557","gene18079"
"1558","gene2261"
"1559","gene2409"
"1560","gene3600"
"1561","gene13664"
"1562","gene9841"
"1563","gene14844"
"1564","gene5011"
"1565","gene10768"
"1566","gene17442"
"1567","gene4785"
"1568","gene15343"
"1569","gene10998"
"1570","gene15284"
"1571","gene21757"
"1572","gene15498"
"1573","gene16883"
"1574","gene4227"
"1575","gene11834"
"1576","gene1240"
"1577","gene20850"
"1578","gene10161"
"1579","gene1681"
"1580","gene2340"
"1581","gene16605"
"1582","gene16867"
"1583","gene14755"
"1584","gene4309"
"1585","gene21875"
"1586","gene20694"
"1587","gene18486"
"1588","gene16428"
"1589","gene2536"
"1590","gene13154"
"1591","gene9983"
"1592","gene15912"
"1593","gene17629"
"1594","gene10533"
"1595","gene16654"
"1596","gene9879"
"1597","gene10074"
"1598","gene15141"
"1599","gene10748"
"1600","gene21973"
"1601","gene4209"
"1602","gene23918"
"1603","gene14672"
"1604","gene12410"
"1605","gene12557"
"1606","gene5087"
"1607","gene9802"
"1608","gene22388"
"1609","gene21884"
"1610","gene19864"
"1611","gene10300"
"1612","gene18810"
"1613","gene7469"
"1614","gene20841"
"1615","gene15549"
"1616","gene6434"
"1617","gene11635"
"1618","gene6887"
"1619","gene17540"
"1620","gene12970"
"1621","gene6398"
"1622","gene19885"
"1623","gene662"
"1624","gene9666"
"1625","gene9386"
"1626","id50261"
"1627","gene15059"
"1628","gene835"
"1629","id41763"
"1630","gene19852"
"1631","gene15661"
"1632","gene16946"
"1633","gene2469"
"1634","gene12141"
"1635","gene13587"
"1636","gene14208"
"1637","gene26089"
"1638","gene15741"
"1639","gene22409"
"1640","gene15564"
"1641","gene6480"
"1642","gene1111"
"1643","gene23189"
"1644","gene25427"
"1645","gene6758"
"1646","gene23163"
"1647","gene5619"
"1648","gene11467"
"1649","gene21880"
"1650","gene1651"
"1651","gene20546"
"1652","gene5379"
"1653","gene9045"
"1654","gene25217"
"1655","gene16368"
"1656","gene15128"
"1657","gene18169"
"1658","gene2849"
"1659","gene3496"
"1660","gene461"
"1661","gene24117"
"1662","gene2904"
"1663","gene25455"
"1664","gene9945"
"1665","gene430"
"1666","gene12789"
"1667","gene24527"
"1668","gene25553"
"1669","gene24923"
"1670","gene16902"
"1671","gene24838"
"1672","gene24817"
"1673","gene24702"
"1674","gene24706"
"1675","gene11460"
"1676","gene15103"
"1677","gene5658"
"1678","gene23554"
"1679","gene19215"
"1680","gene8220"
"1681","gene24161"
"1682","gene9170"
"1683","gene25109"
"1684","gene15618"
"1685","gene24211"
"1686","gene1101"
"1687","gene3925"
"1688","gene20538"
"1689","gene25325"
"1690","gene25558"
"1691","gene13517"
"1692","gene25313"
"1693","gene1732"
"1694","gene5994"
"1695","gene5216"
"1696","gene12545"
"1697","gene20103"
"1698","gene19201"
"1699","gene26138"
"1700","gene21828"
"1701","gene6275"
"1702","gene18719"
"1703","gene11325"
"1704","gene5578"
"1705","gene7333"
"1706","gene1308"
"1707","gene3784"
"1708","gene13484"
"1709","gene17814"
"1710","gene17256"
"1711","gene2457"
"1712","gene906"
"1713","gene13572"
"1714","gene16005"
"1715","gene10128"
"1716","gene4180"
"1717","gene13496"
"1718","gene4543"
"1719","gene5642"
"1720","gene24704"
"1721","gene3817"
"1722","gene3835"
"1723","gene22576"
"1724","gene13536"
"1725","gene5614"
"1726","gene22236"
"1727","gene20295"
"1728","gene21444"
"1729","gene5849"
"1730","gene1758"
"1731","gene26282"
"1732","gene12529"
"1733","gene140"
"1734","gene21882"
"1735","gene14893"
"1736","gene22173"
"1737","gene449"
"1738","gene4797"
"1739","gene24468"
"1740","gene11155"
"1741","gene5248"
"1742","gene17042"
"1743","gene2116"
"1744","gene13622"
"1745","gene10404"
"1746","gene24951"
"1747","gene13621"
"1748","gene20860"
"1749","gene10268"
"1750","gene14139"
"1751","gene26786"
"1752","gene20209"
"1753","gene10884"
"1754","gene14357"
"1755","gene26679"
"1756","gene14762"
"1757","gene6650"
"1758","gene17477"
"1759","gene1090"
"1760","gene16436"
"1761","gene21323"
"1762","gene14827"
"1763","gene18168"
"1764","gene5007"
"1765","gene16886"
"1766","gene21253"
"1767","gene25292"
"1768","gene22498"
"1769","gene23080"
"1770","gene1036"
"1771","gene22580"
"1772","gene8186"
"1773","gene13744"
"1774","gene9299"
"1775","gene25248"
"1776","gene23579"
"1777","gene22995"
"1778","gene11540"
"1779","gene19093"
"1780","gene231"
"1781","gene793"
"1782","gene22259"
"1783","gene25739"
"1784","gene25984"
"1785","gene4600"
"1786","gene25170"
"1787","gene8311"
"1788","gene1352"
"1789","gene15109"
"1790","gene13619"
"1791","gene26009"
"1792","gene17117"
"1793","gene13599"
"1794","gene23227"
"1795","gene11422"
"1796","gene12034"
"1797","gene20240"
"1798","gene22123"
"1799","gene12678"
"1800","gene4298"
"1801","gene25949"
"1802","gene19625"
"1803","gene23337"
"1804","gene20921"
"1805","gene26889"
"1806","gene7437"
"1807","gene9364"
"1808","gene21245"
"1809","gene15101"
"1810","gene19850"
"1811","gene25286"
"1812","gene8239"
"1813","gene9458"
"1814","gene5701"
"1815","gene17115"
"1816","gene10272"
"1817","gene10672"
"1818","gene6109"
"1819","gene23934"
"1820","gene3232"
"1821","gene7270"
"1822","gene15435"
"1823","gene3267"
"1824","gene1521"
"1825","gene614"
"1826","gene25910"
"1827","gene7496"
"1828","gene14995"
"1829","gene615"
"1830","gene4204"
"1831","gene11039"
"1832","gene18852"
"1833","gene26210"
"1834","gene15551"
"1835","gene22794"
"1836","gene18260"
"1837","gene22790"
"1838","gene3994"
"1839","gene24320"
"1840","gene2880"
"1841","gene21955"
"1842","gene6612"
"1843","gene22216"
"1844","gene26395"
"1845","gene26355"
"1846","gene22225"
"1847","gene24911"
"1848","gene11652"
"1849","gene6346"
"1850","gene5861"
"1851","gene9157"
"1852","gene11430"
"1853","gene25843"
"1854","gene23179"
"1855","gene12269"
"1856","gene6686"
"1857","gene5484"
"1858","gene7466"
"1859","gene4411"
"1860","gene7211"
"1861","gene24078"
"1862","gene18623"
"1863","gene18628"
"1864","gene14231"
"1865","gene18400"
"1866","gene3885"
"1867","gene15329"
"1868","gene4342"
"1869","gene17434"
"1870","gene1247"
"1871","gene12617"
"1872","gene14680"
"1873","gene16635"
"1874","gene12849"
"1875","gene14936"
"1876","gene12246"
"1877","gene21296"
"1878","gene21225"
"1879","gene980"
"1880","gene12559"
"1881","gene2378"
"1882","gene16612"
"1883","gene4640"
"1884","gene15513"
"1885","gene4178"
"1886","gene25"
"1887","gene25049"
"1888","gene22284"
"1889","gene205"
"1890","gene11156"
"1891","gene7240"
"1892","gene5732"
"1893","gene11573"
"1894","gene17892"
"1895","gene20922"
"1896","gene12380"
"1897","gene22514"
"1898","gene23842"
"1899","gene17544"
"1900","gene1942"
"1901","gene14610"
"1902","gene14339"
"1903","gene7235"
"1904","gene2701"
"1905","gene18614"
"1906","gene22337"
"1907","gene11386"
"1908","gene2830"
"1909","gene12732"
"1910","gene7078"
"1911","gene6885"
"1912","gene22464"
"1913","gene10590"
"1914","gene5816"
"1915","gene19925"
"1916","gene1350"
"1917","gene4655"
"1918","gene1228"
"1919","gene12708"
"1920","gene21237"
"1921","gene20214"
"1922","gene13696"
"1923","gene19692"
"1924","gene26319"
"1925","gene6085"
"1926","gene10547"
"1927","gene21226"
"1928","gene17053"
"1929","gene26792"
"1930","gene24513"
"1931","gene8254"
"1932","gene10972"
"1933","gene25314"
"1934","gene3441"
"1935","gene25161"
"1936","gene24858"
"1937","gene5797"
"1938","gene19344"
"1939","gene26153"
"1940","gene4973"
"1941","gene15953"
"1942","gene15662"
"1943","gene24417"
"1944","gene392"
"1945","gene6909"
