"","lun_degs_uni"
"356","gene4235"
"357","gene4587"
"358","gene3822"
"359","gene18181"
"360","gene4061"
"361","gene25688"
"362","gene1760"
"363","gene2741"
"364","gene6102"
"365","gene11061"
"366","gene5106"
"367","gene4812"
"368","gene4925"
"369","gene20029"
"370","gene10365"
"371","gene11079"
"372","gene16871"
"373","gene17059"
"374","gene12195"
"375","gene25976"
"376","gene5065"
"377","gene19040"
"378","gene22263"
"379","gene16669"
"380","gene18296"
"381","gene20384"
"382","gene6947"
"383","gene10340"
"384","gene2533"
"385","gene1170"
"386","gene23033"
"387","gene13920"
"388","gene23864"
"389","gene4705"
"390","gene9447"
"391","gene4669"
"392","gene16819"
"393","gene17941"
"394","gene13122"
"395","gene3851"
"396","gene7200"
"397","gene677"
"398","gene230"
"399","gene24162"
"400","gene23110"
"401","gene6573"
"402","gene1869"
"403","gene4777"
"404","gene11060"
"405","gene11218"
"406","gene9797"
"407","gene15985"
"408","gene2351"
"409","gene26499"
"410","gene15928"
"411","gene19294"
"412","gene11422"
"413","gene836"
"414","gene19033"
"415","gene22271"
"416","gene20083"
"417","gene21066"
"418","gene1717"
"419","gene19237"
"420","gene344"
"421","gene21444"
"422","gene19327"
"423","gene21447"
"424","gene340"
"425","gene10691"
"426","gene339"
"427","gene11541"
"428","gene2500"
"429","gene9259"
"430","gene14272"
"431","gene20038"
"432","gene25583"
"433","gene23102"
"434","gene10787"
"435","gene14292"
"436","gene21946"
"437","gene341"
"438","gene23454"
"439","gene4264"
"440","gene9246"
"441","gene23035"
"442","gene19163"
"443","gene23868"
"444","gene16673"
"445","gene767"
"446","gene23031"
"447","gene23112"
"448","gene5465"
"449","gene13123"
"450","gene16914"
"451","gene13602"
"452","gene13613"
"453","gene9349"
"454","gene1718"
"455","gene17335"
"456","gene4232"
"457","gene24473"
"458","gene17877"
"459","gene3867"
"460","gene4828"
"461","gene5086"
"462","gene23115"
"463","gene24562"
"464","gene16993"
"465","gene9351"
"466","gene12725"
"467","gene16172"
"468","gene23092"
"469","gene6166"
"470","gene2153"
"471","gene6561"
"472","gene11080"
"473","gene16206"
"474","gene4636"
"475","gene4541"
"476","gene6759"
"477","gene14389"
"478","gene24563"
"479","gene3593"
"480","gene16968"
"481","gene16969"
"482","gene11240"
"483","gene21031"
"484","gene12610"
"485","gene13603"
"486","gene3880"
"487","gene21732"
"488","gene10784"
"489","gene12612"
"490","gene16697"
"491","gene9900"
"492","gene10644"
"493","gene17426"
"494","gene11190"
"495","gene18090"
"496","gene1783"
"497","gene23032"
"498","gene5473"
"499","gene19684"
"500","gene22982"
"501","gene9794"
"502","gene12310"
"503","gene16995"
"504","gene19316"
"505","gene22910"
"506","gene23108"
"507","gene22856"
"508","gene9231"
"509","gene7079"
"510","gene19283"
"511","gene26251"
"512","gene17606"
"513","gene5618"
"514","gene2699"
"515","gene25994"
"516","gene3465"
"517","gene26227"
"518","gene8319"
"519","gene14195"
"520","gene4032"
"521","gene25268"
"522","gene7078"
"523","gene15746"
"524","gene24556"
"525","gene4418"
"526","gene24193"
"527","gene4694"
"528","gene13458"
"529","gene14247"
"530","gene25582"
"531","gene13405"
"532","gene14126"
"533","gene2646"
"534","gene14078"
"535","gene20156"
"536","gene22466"
"537","gene2650"
"538","gene16384"
"539","gene20023"
"540","gene25451"
"541","gene17529"
"542","gene24981"
"543","gene10509"
"544","gene12162"
"545","gene15616"
"546","gene16395"
"547","gene22987"
"548","gene10766"
"549","gene11730"
"550","gene24053"
"551","gene13247"
"552","gene18100"
"553","gene18182"
"554","gene12608"
"555","gene13216"
"556","gene5266"
"557","gene11207"
"558","gene605"
"559","gene13398"
"560","gene13409"
"561","gene15835"
"562","gene13404"
"563","gene7206"
"564","gene23034"
"565","gene2530"
"566","gene9244"
"567","gene1505"
"568","gene9702"
"569","gene20872"
"570","gene862"
"571","gene3241"
"572","gene829"
"573","gene4591"
"574","gene5455"
"575","gene18044"
"576","gene4213"
"577","gene15085"
"578","gene17459"
"579","gene22439"
"580","gene25673"
"581","gene9048"
"582","gene25899"
"583","gene10152"
"584","gene24594"
"585","gene11275"
"586","gene17985"
"587","gene1009"
"588","gene23991"
"589","gene16772"
"590","gene25293"
"591","gene20888"
"592","gene9440"
"593","gene25157"
"594","gene5205"
"595","gene17235"
"596","gene22098"
"597","gene23030"
"598","gene1513"
"599","gene9757"
"600","gene23556"
"601","gene8180"
"602","gene13838"
"603","gene24554"
"604","gene9587"
"605","gene24730"
"606","gene20276"
"607","gene4403"
"608","gene12552"
"609","gene7251"
"610","gene20638"
"611","gene21172"
"612","gene16042"
"613","gene17512"
"614","gene20637"
"615","gene20596"
"616","gene21904"
"617","gene3170"
"618","gene7035"
"619","gene553"
"620","gene15837"
"621","gene19917"
"622","gene5755"
"623","gene2796"
"624","gene11755"
"625","gene6997"
"626","gene1977"
"627","gene6460"
"628","gene24282"
"629","gene11435"
"630","gene16952"
"631","gene17781"
"632","gene19241"
"633","gene16850"
"634","gene9321"
"635","gene22718"
"636","gene11186"
"637","gene25615"
"638","gene19238"
"639","gene11908"
"640","gene18831"
"641","gene25253"
"642","gene13699"
"643","gene15516"
"644","gene24976"
"645","gene3402"
"646","gene860"
