"","mus_degs_uni"
"355","gene1146"
"356","gene6865"
"357","gene5119"
"358","gene23840"
"359","gene2821"
"360","gene9587"
"361","gene1046"
"362","gene11435"
"363","gene5293"
"364","gene18323"
"365","gene12476"
"366","gene9898"
"367","gene11392"
"368","gene832"
"369","gene20328"
"370","gene3369"
"371","gene21349"
"372","gene13532"
"373","gene16753"
"374","gene22656"
"375","gene11819"
"376","gene5058"
"377","gene22728"
"378","gene22747"
"379","gene16108"
"380","gene25553"
"381","gene13792"
"382","gene20923"
"383","gene16251"
"384","gene14306"
"385","gene15524"
"386","gene19148"
"387","gene16750"
"388","gene15134"
"389","gene5767"
"390","gene17638"
"391","gene20640"
"392","gene1661"
"393","gene11088"
"394","gene3348"
"395","gene10335"
"396","gene14988"
"397","gene8206"
"398","gene10969"
"399","gene20907"
"400","gene14804"
"401","gene22294"
"402","gene16036"
"403","gene15402"
"404","gene17322"
"405","gene2469"
"406","gene23881"
"407","gene9845"
"408","gene17978"
"409","gene6228"
"410","gene10805"
"411","gene2143"
"412","gene11940"
"413","gene5308"
"414","gene15660"
"415","gene2083"
"416","gene22208"
"417","gene19619"
"418","gene4939"
"419","gene14767"
"420","gene17612"
"421","gene7180"
"422","gene24520"
"423","gene5305"
"424","gene11261"
"425","gene18792"
"426","gene14292"
"427","gene20596"
"428","gene11987"
"429","gene6438"
"430","gene12562"
"431","gene18831"
"432","gene7173"
"433","gene10508"
"434","gene5976"
"435","gene11087"
"436","gene4605"
"437","gene10638"
"438","gene11333"
"439","gene9584"
"440","gene110"
"441","gene25885"
"442","gene26599"
"443","gene789"
"444","gene10067"
"445","gene2493"
"446","gene3585"
"447","gene4643"
"448","gene5581"
"449","gene11903"
"450","gene23391"
"451","gene1546"
"452","gene19082"
"453","gene15074"
"454","gene18285"
"455","gene20259"
"456","gene23556"
"457","gene468"
"458","gene1706"
"459","gene23222"
"460","gene7010"
"461","gene4331"
"462","gene20881"
"463","gene9094"
"464","gene2759"
"465","gene22367"
"466","gene20678"
"467","gene466"
"468","gene13769"
"469","gene2014"
"470","gene11719"
"471","gene26003"
"472","gene12173"
"473","gene22347"
"474","gene21685"
"475","gene23000"
"476","gene4403"
"477","gene7329"
"478","gene464"
"479","gene11453"
"480","gene11070"
"481","gene10946"
"482","gene16863"
"483","gene24599"
"484","gene11267"
"485","gene5783"
"486","gene6825"
"487","gene10704"
"488","gene12969"
"489","gene20594"
"490","gene17868"
"491","gene22381"
"492","gene3998"
"493","gene17024"
"494","gene14225"
"495","gene20806"
"496","gene6885"
"497","gene1157"
"498","gene15630"
"499","gene15058"
"500","gene15734"
"501","gene16749"
"502","gene25053"
"503","gene15560"
"504","gene1593"
"505","gene1015"
"506","gene434"
"507","gene16093"
"508","gene1653"
"509","gene21864"
"510","gene16493"
"511","gene19045"
"512","gene5817"
"513","gene9090"
"514","gene16592"
"515","gene519"
"516","gene17623"
"517","gene20104"
"518","gene20030"
"519","gene3977"
"520","gene24045"
"521","gene16204"
"522","gene1239"
"523","gene9939"
"524","gene14999"
"525","gene14992"
"526","gene21027"
"527","gene11665"
"528","gene25715"
"529","gene4942"
"530","gene12653"
"531","gene21136"
"532","gene3345"
"533","gene20400"
"534","gene5255"
"535","gene18751"
"536","gene21050"
"537","gene11365"
"538","gene11410"
"539","gene13337"
"540","gene13999"
"541","gene11152"
"542","gene331"
"543","gene22881"
"544","gene1236"
"545","gene11089"
"546","gene7167"
"547","gene9251"
"548","gene10453"
"549","gene4889"
"550","gene11908"
"551","gene16307"
"552","gene231"
"553","gene23469"
"554","gene24722"
"555","gene2549"
"556","gene11039"
"557","gene540"
"558","gene6319"
"559","gene25321"
"560","gene9517"
"561","gene3212"
"562","gene23322"
"563","gene18474"
"564","gene2593"
"565","gene24503"
"566","gene4272"
"567","gene13042"
"568","gene6232"
"569","gene23279"
"570","gene16340"
"571","gene23474"
"572","gene14101"
"573","gene24888"
"574","gene2676"
"575","gene3916"
"576","gene2442"
"577","gene9126"
"578","gene2251"
"579","gene15170"
"580","gene15661"
"581","gene3884"
"582","gene25834"
"583","gene13000"
"584","gene20199"
"585","gene15146"
"586","gene12970"
"587","gene16992"
"588","gene16326"
"589","gene16412"
"590","gene12684"
"591","gene20908"
"592","gene16195"
"593","gene13845"
"594","gene5516"
"595","gene22014"
"596","gene15435"
"597","gene9133"
"598","gene577"
"599","gene6203"
"600","gene9014"
"601","gene19256"
"602","gene18367"
"603","gene24076"
"604","gene25948"
"605","gene16595"
"606","gene2122"
"607","gene24012"
"608","gene12230"
"609","gene11784"
"610","gene1029"
"611","gene2489"
"612","gene20132"
"613","gene2219"
"614","gene18469"
"615","gene11658"
"616","gene25112"
"617","gene20250"
"618","gene13796"
"619","gene22409"
"620","gene23002"
"621","gene4199"
"622","gene12967"
"623","gene5635"
"624","gene13157"
"625","gene21318"
"626","gene16194"
"627","gene11424"
"628","gene5013"
"629","gene25908"
"630","gene9663"
"631","gene23330"
"632","gene22254"
"633","gene18461"
"634","gene13787"
"635","gene6981"
"636","gene13004"
"637","gene14099"
"638","gene15662"
"639","gene18770"
"640","gene14420"
"641","gene16591"
"642","gene7043"
"643","gene7564"
"644","gene570"
"645","gene14615"
"646","gene20541"
"647","gene3639"
"648","gene10587"
"649","gene3794"
"650","gene7120"
"651","gene18318"
"652","gene3616"
"653","gene2099"
"654","gene25484"
"655","gene5038"
"656","gene10597"
"657","gene2223"
"658","gene18213"
"659","gene4592"
"660","gene5266"
"661","gene21047"
"662","gene10766"
"663","gene20637"
"664","gene20638"
"665","gene20635"
"666","gene20636"
"667","gene6016"
"668","gene19208"
"669","gene21709"
"670","gene11090"
"671","gene11788"
"672","gene6399"
"673","gene17079"
"674","gene8203"
"675","gene15035"
"676","gene1505"
"677","gene2158"
"678","gene6084"
"679","gene21287"
"680","gene19910"
"681","gene5735"
"682","gene24315"
"683","gene23970"
"684","gene10106"
"685","gene22251"
"686","gene2457"
"687","gene12781"
"688","gene12038"
"689","gene4864"
"690","gene1819"
"691","gene4565"
"692","gene12175"
"693","gene9950"
"694","gene23132"
"695","gene3390"
"696","gene22777"
"697","gene18795"
"698","gene19681"
"699","gene15954"
"700","gene1139"
"701","gene2401"
"702","gene20868"
"703","gene20860"
"704","gene2280"
"705","gene14810"
"706","gene15771"
"707","gene16861"
"708","gene21063"
