"","hea_degs_uni"
"356","gene19169"
"357","gene13685"
"358","gene21765"
"359","gene19917"
"360","gene605"
"361","gene8296"
"362","gene24668"
"363","gene8297"
"364","gene11435"
"365","gene22656"
"366","gene15516"
"367","gene14953"
"368","gene25253"
"369","gene24564"
"370","gene6885"
"371","gene11575"
"372","gene12816"
"373","gene1046"
"374","gene12470"
"375","gene22273"
"376","gene24554"
"377","gene20638"
"378","gene21697"
"379","gene20596"
"380","gene24586"
"381","gene4773"
"382","gene22190"
"383","gene237"
"384","gene14142"
"385","gene24906"
"386","gene20853"
"387","gene9487"
"388","gene3345"
"389","gene16188"
"390","gene19034"
"391","gene9805"
"392","gene10409"
"393","gene25378"
"394","gene15704"
"395","gene3843"
"396","gene19316"
"397","gene3616"
"398","gene3781"
"399","gene3750"
"400","gene7102"
"401","gene3129"
"402","gene14091"
"403","gene6908"
"404","gene3504"
"405","gene2647"
"406","gene17845"
"407","gene26347"
"408","gene16772"
"409","gene3775"
"410","gene11129"
"411","gene18023"
"412","gene19030"
"413","gene21046"
"414","gene21984"
"415","gene10919"
"416","gene7329"
"417","gene21020"
"418","gene13999"
"419","gene20030"
"420","gene21295"
"421","gene16906"
"422","gene17034"
"423","gene13184"
"424","gene9359"
"425","gene16868"
"426","gene14295"
"427","gene12855"
"428","gene9206"
"429","gene8188"
"430","gene26965"
"431","gene8247"
"432","gene23481"
"433","gene15605"
"434","gene16592"
"435","gene9240"
"436","gene3779"
"437","gene21014"
"438","gene22994"
"439","gene17830"
"440","gene25067"
"441","gene15170"
"442","rna46612"
"443","gene5629"
"444","gene18469"
"445","gene18461"
"446","gene24740"
"447","gene3526"
"448","gene3915"
"449","gene11915"
"450","gene12070"
"451","gene13786"
"452","gene23321"
"453","gene2818"
"454","gene2727"
"455","gene15616"
"456","gene24355"
"457","gene24699"
"458","gene25163"
"459","gene16596"
"460","gene24008"
"461","gene12493"
"462","gene24012"
"463","gene25051"
"464","gene25703"
"465","gene16652"
"466","gene25708"
"467","gene16326"
"468","gene16412"
"469","gene25834"
"470","gene15911"
"471","gene13227"
"472","gene1084"
"473","gene11606"
"474","gene13011"
"475","gene18022"
"476","gene2148"
"477","gene24722"
"478","gene18614"
"479","gene18013"
"480","gene1024"
"481","gene1467"
"482","gene17985"
"483","gene21447"
"484","gene5159"
"485","gene11240"
"486","gene262"
"487","gene16210"
"488","gene10943"
"489","gene12917"
"490","gene12042"
"491","gene13278"
"492","gene20984"
"493","gene885"
"494","gene14381"
"495","gene11119"
"496","gene25491"
"497","gene13121"
"498","gene1042"
"499","gene17049"
"500","gene12561"
"501","gene5733"
"502","gene13282"
"503","gene4418"
"504","gene22283"
"505","gene9276"
"506","gene677"
"507","gene4272"
"508","gene8320"
"509","gene26669"
"510","gene15910"
"511","gene19950"
"512","gene15406"
"513","gene5290"
"514","gene21349"
"515","gene5822"
"516","gene12688"
"517","gene20903"
"518","gene11038"
"519","gene3369"
"520","gene21913"
"521","gene17909"
